predictor,type,utility_metric,abs_spearman,spearman_r,p_value,n
kendalltau,ranking,fidelity_accuracy_drop,0.08786047370587517,-0.08786047370587517,6.430254205254202e-07,3200
kendalltau,ranking,utility_accuracy_drop,0.08240385429859406,-0.08240385429859406,3.0476162620994914e-06,3200
kendalltau,ranking,fidelity_balanced_accuracy_drop,0.06508704615251151,-0.06508704615251151,0.0002292889831717019,3200
kendalltau,ranking,utility_balanced_accuracy_drop,0.0820198478277169,-0.0820198478277169,3.3882769541738847e-06,3200
kendalltau,ranking,fidelity_rmse_ratio,0.26661963738389666,0.26661963738389666,1.352575108936823e-22,1300
kendalltau,ranking,utility_rmse_ratio,0.17744242581702727,0.17744242581702727,1.1727795505820965e-10,1300
rbo,ranking,fidelity_accuracy_drop,0.07907591753478634,-0.07907591753478634,7.5177922057985105e-06,3200
rbo,ranking,utility_accuracy_drop,0.0772729609318566,-0.0772729609318566,1.208465219926461e-05,3200
rbo,ranking,fidelity_balanced_accuracy_drop,0.04178748313706608,-0.04178748313706608,0.018080471504390072,3200
rbo,ranking,utility_balanced_accuracy_drop,0.06316260569698989,-0.06316260569698989,0.0003499727665713248,3200
rbo,ranking,fidelity_rmse_ratio,0.24202020690428874,0.24202020690428874,8.779229056270632e-19,1300
rbo,ranking,utility_rmse_ratio,0.16537575902846344,0.16537575902846344,1.9937085037852985e-09,1300
spearmanr,ranking,fidelity_accuracy_drop,0.08691519189517097,-0.08691519189517097,8.476464719635612e-07,3200
spearmanr,ranking,utility_accuracy_drop,0.08207407055926137,-0.08207407055926137,3.338052518253666e-06,3200
spearmanr,ranking,fidelity_balanced_accuracy_drop,0.06423508069367034,-0.06423508069367034,0.00027688226630181393,3200
spearmanr,ranking,utility_balanced_accuracy_drop,0.08191766705535805,-0.08191766705535805,3.4848984186734842e-06,3200
spearmanr,ranking,fidelity_rmse_ratio,0.28369471754985337,0.28369471754985337,1.7338503266892484e-25,1300
spearmanr,ranking,utility_rmse_ratio,0.1911301072725206,0.1911301072725206,3.68354095175503e-12,1300
weightedtau,ranking,fidelity_accuracy_drop,0.08299363165353152,-0.08299363165353152,2.5875575546392587e-06,3200
weightedtau,ranking,utility_accuracy_drop,0.07614929404967116,-0.07614929404967116,1.616134632462484e-05,3200
weightedtau,ranking,fidelity_balanced_accuracy_drop,0.06042716907879278,-0.06042716907879278,0.0006260575228071373,3200
weightedtau,ranking,utility_balanced_accuracy_drop,0.0769436168279964,-0.0769436168279964,1.316476905605502e-05,3200
weightedtau,ranking,fidelity_rmse_ratio,0.2712243875826685,0.2712243875826685,2.351769447190586e-23,1300
weightedtau,ranking,utility_rmse_ratio,0.17133001702237527,0.17133001702237527,5.052155728999633e-10,1300
propensity_auroc,baseline,fidelity_accuracy_drop,0.4163965815686213,0.4163965815686213,1.9784615940105116e-134,3200
propensity_auroc,baseline,utility_accuracy_drop,0.4138443584037028,0.4138443584037028,1.1935623613948384e-132,3200
propensity_auroc,baseline,fidelity_balanced_accuracy_drop,0.4250677927647291,0.4250677927647291,1.350218898001227e-140,3200
propensity_auroc,baseline,utility_balanced_accuracy_drop,0.41760174677852396,0.41760174677852396,2.819522607283807e-135,3200
propensity_auroc,baseline,fidelity_rmse_ratio,0.4898347309634124,0.4898347309634124,2.1140149260226385e-79,1300
propensity_auroc,baseline,utility_rmse_ratio,0.16168414654678148,0.16168414654678148,4.55646301356189e-09,1300
marginal_js_distance,baseline,fidelity_accuracy_drop,0.24619180269081856,0.24619180269081856,2.971032988580674e-45,3190
marginal_js_distance,baseline,utility_accuracy_drop,0.2354849133328766,0.2354849133328766,1.9149809693980148e-41,3190
marginal_js_distance,baseline,fidelity_balanced_accuracy_drop,0.23158938629966602,0.23158938629966602,4.183796055690616e-40,3190
marginal_js_distance,baseline,utility_balanced_accuracy_drop,0.23393668967506664,0.23393668967506664,6.568216994229473e-41,3190
marginal_js_distance,baseline,fidelity_rmse_ratio,0.4473890482186555,-0.4473890482186555,1.5019632373374385e-62,1250
marginal_js_distance,baseline,utility_rmse_ratio,0.2398444550787541,-0.2398444550787541,8.176628173400804e-18,1250
mmd_rbf,baseline,fidelity_accuracy_drop,0.16174164645426908,0.16174164645426908,5.993890149021594e-15,2300
mmd_rbf,baseline,utility_accuracy_drop,0.16573747991936796,0.16573747991936796,1.2487181848322255e-15,2300
mmd_rbf,baseline,fidelity_balanced_accuracy_drop,0.21713510685131313,0.21713510685131313,6.041916866992874e-26,2300
mmd_rbf,baseline,utility_balanced_accuracy_drop,0.18749150904404807,0.18749150904404807,1.2187805618322666e-19,2300
mmd_rbf,baseline,fidelity_rmse_ratio,0.04606800635353937,0.04606800635353937,0.09685627582300532,1300
mmd_rbf,baseline,utility_rmse_ratio,0.2268294517195528,0.2268294517195528,1.245023632320212e-16,1300
