dataset,perturbation,target,rep,model,task_type,trtr_mae,trtr_rmse,trtr_mse,trtr_r2,trts_mae,trts_rmse,trts_mse,trts_r2,tsts_mae,tsts_rmse,tsts_mse,tsts_r2,tstr_mae,tstr_rmse,tstr_mse,tstr_r2,trtr_accuracy,trtr_balanced_accuracy,trtr_macro_f1,trtr_auroc,trts_accuracy,trts_balanced_accuracy,trts_macro_f1,trts_auroc,tsts_accuracy,tsts_balanced_accuracy,tsts_macro_f1,tsts_auroc,tstr_accuracy,tstr_balanced_accuracy,tstr_macro_f1,tstr_auroc
real_data5_testing,mean_variance_drift,Age_linear,0,LinearRegression,regression,12.531105816811719,15.646453151385323,244.8114962184957,-0.15789219438727398,14.438629955606855,17.62592394610589,310.67319495390893,-0.21438035062000815,13.784216398492887,17.211098466523854,296.2219104243797,-0.1578921943872733,12.796482798880863,16.139561510754962,260.48544575944305,-0.23202573839570184,,,,,,,,,,,,,,,,
real_data5_testing,mean_variance_drift,Age_linear,0,RandomForestRegressor,regression,13.055594141627664,15.850736426023351,251.2458452472635,-0.18832492582127558,15.003291559716143,17.90071324276417,320.4355345996725,-0.2525400426515423,14.35567016457799,17.437651419158644,304.07168701608543,-0.18857593088130398,12.842024233730939,16.2514690348684,264.1102457912864,-0.24917006261216024,,,,,,,,,,,,,,,,
real_data5_testing,mean_variance_drift,Age_linear,1,LinearRegression,regression,11.55843413179032,14.275963030745496,203.8031204552121,-0.012365601208043975,13.647679862070364,16.651869616595636,277.2847617281009,-0.13832738494292807,12.714277544969349,15.703559333820042,246.60177575080658,-0.012365601208043753,11.410146120356655,14.250271563961185,203.07023964664077,-0.008725110725239071,,,,,,,,,,,,,,,,
real_data5_testing,mean_variance_drift,Age_linear,1,RandomForestRegressor,regression,11.585478095813293,14.322894991539247,205.14532093866003,-0.0190328082475264,13.744416643299328,16.543362578503658,273.6828454038352,-0.12354056447493145,12.678905815232634,15.749293624550127,248.04024967229526,-0.018270917631318717,11.273538761027588,14.511255064936087,210.57652355963322,-0.04601160373595259,,,,,,,,,,,,,,,,
real_data5_testing,mean_variance_drift,Age_linear,2,LinearRegression,regression,10.443763798151581,13.497750806305191,182.18927682911246,-0.11551167152057351,12.076170028492182,15.604173092995786,243.4902179161737,-0.2321042473736903,11.488140177966741,14.847525886935713,220.44902496322612,-0.11551167152057351,10.872862950285406,13.763058274384855,189.42177306411344,-0.15979492520481564,,,,,,,,,,,,,,,,
real_data5_testing,mean_variance_drift,Age_linear,2,RandomForestRegressor,regression,9.560629120740854,12.64045868625698,159.78119579896955,0.02168891657413108,11.305789169057329,14.673042770044542,215.29818413155644,-0.08944749152780318,10.497855037998894,13.88871517854485,192.89640931074211,0.02390951370078731,9.814490407166948,12.967425776495453,168.15413126891872,-0.02957703828432967,,,,,,,,,,,,,,,,
real_data5_testing,mean_variance_drift,Age_linear,3,LinearRegression,regression,10.966734359810465,13.560739028172232,183.89364299019357,0.06750880510589652,11.43031603160213,14.415460343754829,207.80549692236806,0.12913731056351763,12.063407795791507,14.916812930989456,222.51130801813423,0.06750880510589674,12.205952054655013,15.020838159584299,225.62557901642384,-0.14410624725574994,,,,,,,,,,,,,,,,
real_data5_testing,mean_variance_drift,Age_linear,3,RandomForestRegressor,regression,11.517837988826818,14.31152379091955,204.81971321805628,-0.038603488467287006,12.338142986561982,15.212576145705398,231.4224729888849,0.030164263179081274,12.720290271276864,15.842133334066752,250.97318857434894,-0.05176806780986043,12.48849689969299,15.864726890757186,251.68955931831417,-0.27627194771284613,,,,,,,,,,,,,,,,
real_data5_testing,mean_variance_drift,Age_linear,4,LinearRegression,regression,11.09888402858765,14.134190266999191,199.77533450373468,0.09620971640223608,12.315437762239961,15.922616117712826,253.52970403204827,0.05208525111600382,12.208772431446413,15.547609293699113,241.72815474951904,0.09620971640223597,11.67717052313406,14.682748518273828,215.58310405087227,0.02469483916503401,,,,,,,,,,,,,,,,
real_data5_testing,mean_variance_drift,Age_linear,4,RandomForestRegressor,regression,10.872064812018722,14.003888816209372,196.1089019767539,0.11279677957289025,12.077942938748805,15.675510442443173,245.72162763114494,0.08127863817527226,11.831377483768689,15.31877981957566,234.6650151606385,0.12261788113894068,11.578211697871058,14.614735550171103,213.59049520143506,0.03370946813114695,,,,,,,,,,,,,,,,
real_data5_testing,mean_variance_drift,erythema,0,DecisionTreeClassifier,classification,,,,,,,,,,,,,,,,,0.4594594594594595,0.33042635658914726,0.3208958885290943,0.5511736605873582,0.4864864864864865,0.34205426356589147,0.33695652173913043,0.559435770757758,0.4594594594594595,0.33042635658914726,0.3208958885290943,0.5511736605873582,0.4594594594594595,0.31540697674418605,0.30947101678808997,0.5398477264252463
real_data5_testing,mean_variance_drift,erythema,0,RandomForestClassifier,classification,,,,,,,,,,,,,,,,,0.5405405405405406,0.34689922480620156,0.34161775495231106,0.5811574616786943,0.581081081081081,0.37241602067183466,0.37011278195488717,0.5821645959027265,0.5405405405405406,0.34689922480620156,0.34161775495231106,0.5804903492160549,0.5675675675675675,0.36660206718346255,0.3648496240601503,0.58317135800992
real_data5_testing,mean_variance_drift,erythema,1,DecisionTreeClassifier,classification,,,,,,,,,,,,,,,,,0.5,0.3467377260981912,0.340345999382144,0.5655059598232892,0.4864864864864865,0.3489987080103359,0.3413800705467372,0.5641882940973338,0.5,0.3467377260981912,0.340345999382144,0.5655059598232892,0.47297297297297297,0.335109819121447,0.3273411623005119,0.5552277206206313
real_data5_testing,mean_variance_drift,erythema,1,RandomForestClassifier,classification,,,,,,,,,,,,,,,,,0.581081081081081,0.3481912144702843,0.3345733550337131,0.7376473954798223,0.581081081081081,0.3481912144702843,0.3345733550337131,0.7377383780468927,0.581081081081081,0.3481912144702843,0.3345733550337131,0.7386363890079661,0.581081081081081,0.3481912144702843,0.3345733550337131,0.7257701370874357
real_data5_testing,mean_variance_drift,erythema,2,DecisionTreeClassifier,classification,,,,,,,,,,,,,,,,,0.4594594594594595,0.29925710594315247,0.29578173374613004,0.5298848893771062,0.43243243243243246,0.27955426356589147,0.27674148606811144,0.5137690672668167,0.4594594594594595,0.29925710594315247,0.29578173374613004,0.5298848893771062,0.44594594594594594,0.2853682170542636,0.2831159648020113,0.5189081868681457
real_data5_testing,mean_variance_drift,erythema,2,RandomForestClassifier,classification,,,,,,,,,,,,,,,,,0.5405405405405406,0.30184108527131787,0.29912087912087915,0.6998529919294892,0.527027027027027,0.2810077519379845,0.27600913937547605,0.6880863784011071,0.5405405405405406,0.30184108527131787,0.29912087912087915,0.7002885546892268,0.5405405405405406,0.30184108527131787,0.29912087912087915,0.7105338347898292
real_data5_testing,mean_variance_drift,erythema,3,DecisionTreeClassifier,classification,,,,,,,,,,,,,,,,,0.43243243243243246,0.30038759689922484,0.2826718639262934,0.5284340058228842,0.47297297297297297,0.3178294573643411,0.299549887471868,0.543851364626871,0.43243243243243246,0.30038759689922484,0.2826718639262934,0.5284340058228842,0.43243243243243246,0.30846253229974163,0.291358024691358,0.534271588730516
real_data5_testing,mean_variance_drift,erythema,3,RandomForestClassifier,classification,,,,,,,,,,,,,,,,,0.5,0.3074935400516796,0.3123858032177217,0.5737370199019911,0.527027027027027,0.334140826873385,0.34145848492198233,0.5765348733832185,0.5,0.3074935400516796,0.3123858032177217,0.573706785408844,0.5135135135135135,0.30523255813953487,0.3134264232008593,0.578723139587082
real_data5_testing,mean_variance_drift,erythema,4,DecisionTreeClassifier,classification,,,,,,,,,,,,,,,,,0.4864864864864865,0.34205426356589147,0.3335829931718034,0.5607160718751116,0.4864864864864865,0.35707364341085274,0.3463178294573644,0.5682257617975922,0.4864864864864865,0.34205426356589147,0.3335829931718034,0.5607160718751116,0.4864864864864865,0.32703488372093026,0.32131495227995754,0.5539422098675353
real_data5_testing,mean_variance_drift,erythema,4,RandomForestClassifier,classification,,,,,,,,,,,,,,,,,0.5540540540540541,0.23837209302325582,0.18141592920353983,0.5651441386418848,0.581081081081081,0.2800387596899225,0.25135135135135134,0.5650268619421652,0.5540540540540541,0.23837209302325582,0.18141592920353983,0.5648628183118023,0.5675675675675675,0.2441860465116279,0.18421052631578946,0.5692593456277475
real_data5_testing,mean_variance_drift,scaling,0,DecisionTreeClassifier,classification,,,,,,,,,,,,,,,,,0.581081081081081,0.5090326340326341,0.47242343664038144,0.6668331668331668,0.5540540540540541,0.4798951048951049,0.4476011793084963,0.64688055000555,0.581081081081081,0.5090326340326341,0.47242343664038144,0.6668331668331668,0.5945945945945946,0.5203962703962705,0.48367757695956237,0.6760864135864135
real_data5_testing,mean_variance_drift,scaling,0,RandomForestClassifier,classification,,,,,,,,,,,,,,,,,0.6621621621621622,0.4224941724941725,0.43648504273504274,0.8117037476412475,0.6756756756756757,0.5474941724941724,0.5655336257309942,0.8163595085470086,0.6621621621621622,0.4224941724941725,0.43648504273504274,0.8136538808413807,0.6621621621621622,0.4224941724941725,0.43648504273504274,0.805783972971473
real_data5_testing,mean_variance_drift,scaling,1,DecisionTreeClassifier,classification,,,,,,,,,,,,,,,,,0.5,0.4755244755244755,0.43646464646464644,0.636247433122433,0.5,0.4592074592074592,0.43514088250930355,0.6278409090909091,0.5135135135135135,0.4819347319347319,0.44397926634768736,0.6418564074814075,0.4594594594594595,0.32634032634032634,0.32250805931656995,0.5518606393606393
real_data5_testing,mean_variance_drift,scaling,1,RandomForestClassifier,classification,,,,,,,,,,,,,,,,,0.5945945945945946,0.34644522144522144,0.326984126984127,0.7824748168498168,0.6081081081081081,0.3528554778554779,0.3343607611900295,0.7838817432567433,0.6081081081081081,0.3528554778554779,0.3343607611900295,0.7798878205128206,0.5675675675675675,0.3336247086247086,0.3125,0.7738870504495505
real_data5_testing,mean_variance_drift,scaling,2,DecisionTreeClassifier,classification,,,,,,,,,,,,,,,,,0.4594594594594595,0.3342074592074592,0.33035714285714285,0.5576295232545232,0.5,0.3534382284382285,0.35244565217391305,0.5740367271617272,0.4594594594594595,0.3342074592074592,0.33035714285714285,0.5576295232545232,0.5135135135135135,0.3747086247086247,0.37314009661835745,0.5905785187035186
real_data5_testing,mean_variance_drift,scaling,2,RandomForestClassifier,classification,,,,,,,,,,,,,,,,,0.5945945945945946,0.3741258741258741,0.3758116883116883,0.7908265345765346,0.6216216216216216,0.38694638694638694,0.3902777777777778,0.7880768537018539,0.5945945945945946,0.3741258741258741,0.3758116883116883,0.7889423076923078,0.6081081081081081,0.3968531468531468,0.4035062300782382,0.7938167735042734
real_data5_testing,mean_variance_drift,scaling,3,DecisionTreeClassifier,classification,,,,,,,,,,,,,,,,,0.5675675675675675,0.41025641025641024,0.4211622807017543,0.612118437118437,0.5945945945945946,0.5480769230769231,0.5211309523809524,0.6888392857142857,0.5675675675675675,0.41025641025641024,0.4211622807017543,0.612118437118437,0.527027027027027,0.37470862470862476,0.3770102238187344,0.5891400266400266
real_data5_testing,mean_variance_drift,scaling,3,RandomForestClassifier,classification,,,,,,,,,,,,,,,,,0.6351351351351351,0.377039627039627,0.370803829006032,0.7768230033855035,0.6486486486486487,0.502039627039627,0.5411290322580645,0.7690072080697081,0.6351351351351351,0.377039627039627,0.370803829006032,0.7761670621045621,0.5945945945945946,0.35285547785547783,0.34652092340321394,0.773595154845155
real_data5_testing,mean_variance_drift,scaling,4,DecisionTreeClassifier,classification,,,,,,,,,,,,,,,,,0.5405405405405406,0.5061188811188811,0.5047270955165691,0.6547573953823954,0.5135135135135135,0.4557109557109557,0.4604123946229209,0.6219908563658564,0.5405405405405406,0.5061188811188811,0.5047270955165691,0.6547573953823954,0.5135135135135135,0.47698135198135205,0.47725202429149793,0.6362203768453769
real_data5_testing,mean_variance_drift,scaling,4,RandomForestClassifier,classification,,,,,,,,,,,,,,,,,0.4189189189189189,0.3569347319347319,0.3998368013055895,0.7026362526362526,0.43243243243243246,0.36334498834498835,0.4041137326073805,0.7057373182373183,0.4189189189189189,0.3569347319347319,0.3998368013055895,0.7024024586524586,0.44594594594594594,0.37470862470862476,0.41880864953080377,0.7071719946719948
real_data5_testing,mean_variance_drift,definite_borders,0,DecisionTreeClassifier,classification,,,,,,,,,,,,,,,,,0.4594594594594595,0.3912108703130375,0.40166378387282764,0.5934250550527516,0.43243243243243246,0.34954420364637084,0.3504622506279508,0.5680462671739637,0.4594594594594595,0.3912108703130375,0.40166378387282764,0.5934250550527516,0.4594594594594595,0.38353543171654625,0.3884675879114706,0.5912918812090514
real_data5_testing,mean_variance_drift,definite_borders,0,RandomForestClassifier,classification,,,,,,,,,,,,,,,,,0.527027027027027,0.4017457860337117,0.4065126050420168,0.751116896543623,0.527027027027027,0.4017457860337117,0.4065126050420168,0.7521526918609149,0.527027027027027,0.4017457860337117,0.4065126050420168,0.7510962084759898,0.5540540540540541,0.4222566219470244,0.4261904761904762,0.7585259391520627
real_data5_testing,mean_variance_drift,definite_borders,1,DecisionTreeClassifier,classification,,,,,,,,,,,,,,,,,0.4189189189189189,0.4184081527347781,0.42499321937242684,0.6019100598999856,0.4189189189189189,0.43883298933608533,0.43989448051948055,0.6112702054733664,0.4189189189189189,0.4184081527347781,0.42499321937242684,0.6019100598999856,0.4189189189189189,0.39798331613347093,0.40873222903352024,0.5887911730678634
real_data5_testing,mean_variance_drift,definite_borders,1,RandomForestClassifier,classification,,,,,,,,,,,,,,,,,0.4594594594594595,0.33875128998968007,0.33425925925925926,0.7419369960853532,0.47297297297297297,0.3869539043687651,0.41696582550241085,0.7285276993443877,0.47297297297297297,0.36652906776745786,0.3861111111111111,0.7419004952409963,0.47297297297297297,0.35958462332301344,0.3520955165692008,0.749815671833299
real_data5_testing,mean_variance_drift,definite_borders,2,DecisionTreeClassifier,classification,,,,,,,,,,,,,,,,,0.5675675675675675,0.5682404540763674,0.543921410136419,0.7015801864336269,0.5540540540540541,0.5743679050567595,0.5383808095952024,0.7047750308049419,0.5675675675675675,0.5682404540763674,0.543921410136419,0.7015801864336269,0.527027027027027,0.5122764017887858,0.4969806763285024,0.6671296288213047
real_data5_testing,mean_variance_drift,definite_borders,2,RandomForestClassifier,classification,,,,,,,,,,,,,,,,,0.5405405405405406,0.410969212246302,0.4145622895622895,0.8050992269199224,0.581081081081081,0.4727382180942552,0.4910178057236881,0.8075678596748082,0.5405405405405406,0.410969212246302,0.4145622895622895,0.8050073151552166,0.5540540540540541,0.42412710698314415,0.43105053860867815,0.7814109332207679
real_data5_testing,mean_variance_drift,definite_borders,3,DecisionTreeClassifier,classification,,,,,,,,,,,,,,,,,0.4594594594594595,0.4801771585827313,0.4459147174664416,0.6466593270919522,0.43243243243243246,0.4250300997592019,0.40374013357619914,0.6144472910255517,0.4594594594594595,0.4801771585827313,0.4459147174664416,0.6466593270919522,0.44594594594594594,0.459343825249398,0.4308223477715003,0.6349152579890122
real_data5_testing,mean_variance_drift,definite_borders,3,RandomForestClassifier,classification,,,,,,,,,,,,,,,,,0.5675675675675675,0.43541451668386655,0.4387007729112993,0.7807697434089375,0.5675675675675675,0.44889490884072925,0.45289377289377286,0.7843104748112613,0.5675675675675675,0.43541451668386655,0.4387007729112993,0.780390203666663,0.5675675675675675,0.43541451668386655,0.4387007729112993,0.7838653923607546
