dataset,perturbation,propensity_auroc,propensity_brier,marginal_js_distance,marginal_wasserstein,mmd_rbf,energy_distance,correlation_distance
real_data5_testing,mean_variance_drift,0.5303591262495372,0.2583639778609178,1.927304666366579e-11,5.143105726786328,0.021579071813003413,0.989587441232351,
real_data5_testing,noise_injection,0.4331728989263236,0.2527577110049497,0.002475054669672825,0.38864550579524404,0.0031503861494584368,0.0964974578982963,
real_data5_testing,category_flip,0.43631988152536094,0.4538316678118118,0.019398379096279124,0.0,0.0,0.0,
real_data5_testing,correlation_mix,0.4447426878933728,0.2512813894742261,0.006060902130008425,3.8350581555087464,0.013073047895566056,0.7767955604740995,
real_data5_testing,missingness_mcar,0.9734357645316548,0.4965986197033271,0.809470193659814,0.24764236332760564,0.00026924867464418745,0.053051762320234994,
real_data2_testing,mean_variance_drift,0.5844897959183674,0.4618293351910559,6.575471341426726e-08,0.588015213246679,0.0367494672253017,0.455181444621929,6.197889019559003e-15
real_data2_testing,noise_injection,0.41403061224489796,0.2582750093343355,0.31534503601170394,0.11072004161454063,9.088812365748433e-05,0.1277269697499831,0.017646308998185967
real_data2_testing,category_flip,0.45053571428571426,0.30606037948380904,0.0025868675393322105,0.0,0.0,0.0,0.0
real_data2_testing,correlation_mix,0.41221938775510203,0.255305515995845,0.3987187871551357,0.7444407439757418,0.023691620767562233,0.38510046888488847,0.1250094328291904
real_data2_testing,missingness_mcar,0.545765306122449,0.3760070739791366,0.09556455294160814,0.03110185837377328,0.0015058023772590023,0.022416256793618035,0.12227974240855984
real_data_testing,mean_variance_drift,0.7575920451491533,0.2497885656142112,0.0007427750038113805,13.715017028635643,0.00662166226967892,1.2435355653292675,1.3114469322687166e-15
real_data_testing,noise_injection,0.39398011287288365,0.2563487270985319,0.026615856699043896,0.46190189218101096,0.004243678600316571,0.05070953069159542,0.018283124603168804
real_data_testing,category_flip,0.4494759473259876,0.27304431445732835,0.01677068397439543,0.0,0.0,0.0,0.0
real_data_testing,correlation_mix,0.3673743617307175,0.2593553255077608,0.07971688161276402,4.361518151815183,0.006594470927095822,0.3620589303731451,0.21298219856954645
real_data_testing,missingness_mcar,0.6257726417629669,0.4741083519234465,0.14243175002623937,0.4488584218949163,0.002449562510753532,0.1038359868059604,0.11716276208109623
real_data3_testing,mean_variance_drift,0.9561016593152699,0.08754134405397641,0.0036324377601699358,5.860744689463062,0.00596254170433251,0.8711791847450681,1.8270253910693077e-15
real_data3_testing,noise_injection,0.4284814114681789,0.25617211353248015,0.05536249835357622,0.31778073452624067,0.0027609952271220348,0.050340635771259426,0.0186807928204053
real_data3_testing,category_flip,0.4273261919764755,0.2548229816445103,0.0035822002896044552,0.0,0.0,0.0,0.0
real_data3_testing,correlation_mix,0.44318420499894984,0.2565515316828177,0.16928808680446836,3.0111111111111106,0.0058588928145914465,0.3102716944114633,0.20000203883760378
real_data3_testing,missingness_mcar,0.4450745641671917,0.2895139693190336,0.14184660484933367,0.2672035745501559,0.0026226545004315134,0.09671183467906733,0.16804620021848798
real_data4_testing,mean_variance_drift,0.8474851270957273,0.17419313829946742,,3.2380452803389472,0.020708031557331683,0.604918197377091,3.3546376631528325e-15
real_data4_testing,noise_injection,0.38831800973499186,0.2553560879416023,0.058907598598716804,0.14383143114458985,0.0011455065710325174,0.031206278014209377,0.013997333968290096
real_data4_testing,category_flip,0.43564088696592757,0.256600648114955,0.004253602884362364,0.0,0.0,0.0,0.0
real_data4_testing,correlation_mix,0.3964305029745808,0.2538084933897695,0.1603945555584979,1.1786046511627906,0.012488429155624751,0.17772360210525706,0.13521917149624219
real_data4_testing,missingness_mcar,0.46565711195240667,0.2880638809899454,0.16352244846045916,0.16020236631407475,0.0026034106406905774,0.041619519741538935,0.10917382145171231
real_data6_testing,mean_variance_drift,0.5,0.2521827342190687,0.0,,,,
real_data6_testing,noise_injection,0.5,0.2521827342190687,0.0,,,,
real_data6_testing,category_flip,0.5,0.4773932557618411,0.02132083237053943,,,,
real_data6_testing,correlation_mix,0.5,0.2521827342190687,0.0,,,,
real_data6_testing,missingness_mcar,0.9632352941176471,0.49999994342830867,0.8325546111576977,,,,
