dataset,ranking_metric,utility_metric,pearson_r,pearson_p,spearman_r,spearman_p,n
real_data2_testing,kendalltau,fidelity_accuracy_drop,-0.054439485763099135,0.707297876542085,-0.08073178854326081,0.5773004032740483,50
real_data2_testing,kendalltau,utility_accuracy_drop,-0.03129507604865326,0.8291862632975612,0.08372023579109342,0.5632407490823212,50
real_data2_testing,kendalltau,fidelity_balanced_accuracy_drop,-0.05514098189223416,0.7036979575952076,-0.0907027637493558,0.5310285026589485,50
real_data2_testing,kendalltau,utility_balanced_accuracy_drop,-0.02690885959459612,0.8528405688054422,0.09192544147121044,0.525482604682296,50
real_data2_testing,kendalltau,fidelity_rmse_ratio,-0.03293962440181279,0.4858023923563136,0.29873880992230856,9.939940021424109e-11,450
real_data2_testing,kendalltau,utility_rmse_ratio,0.1658625483885059,0.00041057378834964843,0.22084601502308235,2.2412959337614394e-06,450
real_data2_testing,weightedtau,fidelity_accuracy_drop,-0.029991650715589485,0.836200810990544,-0.0669410969020391,0.6441591430922022,50
real_data2_testing,weightedtau,utility_accuracy_drop,-0.017796419783744806,0.9023712036090136,0.09932238104130452,0.4925544914787954,50
real_data2_testing,weightedtau,fidelity_balanced_accuracy_drop,-0.0322425242163199,0.8240956827654492,-0.08303134639884227,0.5664675224420439,50
real_data2_testing,weightedtau,utility_balanced_accuracy_drop,-0.01307468242303841,0.9281939351981562,0.10335040716842385,0.47508508749372746,50
real_data2_testing,weightedtau,fidelity_rmse_ratio,0.028648308680389815,0.544410805410101,0.3369059953639001,2.0928149705761062e-13,450
real_data2_testing,weightedtau,utility_rmse_ratio,0.13360227041295236,0.004525698578936061,0.21161216216593517,5.958303162528511e-06,450
real_data2_testing,spearmanr,fidelity_accuracy_drop,0.0009256960712557862,0.9949094528931844,-0.06836496916468157,0.6371130937102196,50
real_data2_testing,spearmanr,utility_accuracy_drop,0.004958814304163426,0.9727356674672331,0.11011754269801761,0.446493510949184,50
real_data2_testing,spearmanr,fidelity_balanced_accuracy_drop,0.0023086766895811794,0.9873046620929804,-0.07516415119456726,0.6039122542867228,50
real_data2_testing,spearmanr,utility_balanced_accuracy_drop,0.008927225058198596,0.9509374538625076,0.11607200337818552,0.42214100261337173,50
real_data2_testing,spearmanr,fidelity_rmse_ratio,0.0025693619472602347,0.956654009755368,0.3197022007400708,3.753308253384448e-12,450
real_data2_testing,spearmanr,utility_rmse_ratio,0.1653033471985462,0.0004297389314944769,0.22810848477304815,1.0080003837611372e-06,450
real_data2_testing,rbo,fidelity_accuracy_drop,-0.152513139471143,0.29034957302236375,-0.20015787901310833,0.16341382093225135,50
real_data2_testing,rbo,utility_accuracy_drop,-0.06962019973414088,0.6309277831113157,-0.006060696407447107,0.9666804495755636,50
real_data2_testing,rbo,fidelity_balanced_accuracy_drop,-0.15581174805462483,0.2799175123952291,-0.19890574690896173,0.16611861772862518,50
real_data2_testing,rbo,utility_balanced_accuracy_drop,-0.0642867750771661,0.6573767038128872,0.030097234299663645,0.8356321222083345,50
real_data2_testing,rbo,fidelity_rmse_ratio,0.03777195455779842,0.4241043946370566,0.32313840100245494,2.1394696175005933e-12,450
real_data2_testing,rbo,utility_rmse_ratio,0.1955141630748329,2.962645720070976e-05,0.2596026775284792,2.3000289678123834e-08,450
real_data2_testing,ndcg_score,fidelity_accuracy_drop,-0.0034453489965772834,0.9810550880464441,-0.05377797185331943,0.7106984329694334,50
real_data2_testing,ndcg_score,utility_accuracy_drop,-0.006984362880380256,0.9616060063359697,0.11971742032398357,0.4076121147875481,50
real_data2_testing,ndcg_score,fidelity_balanced_accuracy_drop,-0.005481568706191747,0.9698627432980423,-0.07544546643502417,0.6025549212859843,50
real_data2_testing,ndcg_score,utility_balanced_accuracy_drop,-0.0020949615613598503,0.9884797915018926,0.12244169272291998,0.39694553366639096,50
real_data2_testing,ndcg_score,fidelity_rmse_ratio,0.1131440948711955,0.016341930854122992,0.35701700526703745,5.659608092899049e-15,450
real_data2_testing,ndcg_score,utility_rmse_ratio,0.12056870916415581,0.010470846459160254,0.20893894470986743,7.845400254787022e-06,450
real_data3_testing,kendalltau,fidelity_accuracy_drop,-0.2098491826044369,0.14355799632430843,-0.09228444019446796,0.5238597026850251,50
real_data3_testing,kendalltau,utility_accuracy_drop,-0.23389406058788792,0.10208798431221622,-0.12931435070690206,0.37077155491071434,50
real_data3_testing,kendalltau,fidelity_balanced_accuracy_drop,-0.20839610600263567,0.14641504516505288,-0.09462897588370509,0.5133224795290923,50
real_data3_testing,kendalltau,utility_balanced_accuracy_drop,-0.2269500711667639,0.11297790284602341,-0.11539485188131493,0.4248717944244532,50
real_data3_testing,kendalltau,fidelity_rmse_ratio,0.20158340694833915,0.0004429393053124802,0.3604047047538651,1.244229728469701e-10,300
real_data3_testing,kendalltau,utility_rmse_ratio,0.1651530992708359,0.004126632572319703,0.21698654811002596,0.00015195385843456966,300
real_data3_testing,weightedtau,fidelity_accuracy_drop,-0.16396973100694875,0.2551885395834073,-0.08270571592122195,0.5679957654928485,50
real_data3_testing,weightedtau,utility_accuracy_drop,-0.18395215659914158,0.20097322158850392,-0.11086205428331146,0.44340693626598904,50
real_data3_testing,weightedtau,fidelity_balanced_accuracy_drop,-0.1642910584706449,0.25424562906544435,-0.08254721160802864,0.5687403456080564,50
real_data3_testing,weightedtau,utility_balanced_accuracy_drop,-0.17471889629524792,0.22491504272729063,-0.08428965462848571,0.5605800757060158,50
real_data3_testing,weightedtau,fidelity_rmse_ratio,0.1459401877868984,0.011381260903502126,0.3245582027727194,8.686222694909766e-09,300
real_data3_testing,weightedtau,utility_rmse_ratio,0.12917858746189534,0.025254925405858913,0.17136543795459885,0.002903220678582888,300
real_data3_testing,spearmanr,fidelity_accuracy_drop,-0.1852749794244683,0.19769660506461945,-0.09778436200484648,0.49931168901484413,50
real_data3_testing,spearmanr,utility_accuracy_drop,-0.2146233077084665,0.13446244493144233,-0.13918710826719283,0.335040231874284,50
real_data3_testing,spearmanr,fidelity_balanced_accuracy_drop,-0.18422407001076674,0.20029658257563557,-0.10057684247537092,0.48707845160620444,50
real_data3_testing,spearmanr,utility_balanced_accuracy_drop,-0.2098487464832298,0.1435588475707798,-0.1264586233514169,0.381518801030004,50
real_data3_testing,spearmanr,fidelity_rmse_ratio,0.14969244201553591,0.009415931876398411,0.36044631496651397,1.2377188815768976e-10,300
real_data3_testing,spearmanr,utility_rmse_ratio,0.13269073180938348,0.02151342893060114,0.2198862596680435,0.00012316452043238736,300
real_data3_testing,rbo,fidelity_accuracy_drop,-0.2808188203151996,0.04822118243130456,-0.1665124258684013,0.24779142880366242,50
real_data3_testing,rbo,utility_accuracy_drop,-0.2741126817118371,0.054064464687243144,-0.15911864348799082,0.26970991202426225,50
real_data3_testing,rbo,fidelity_balanced_accuracy_drop,-0.2832897436161914,0.04620222033007588,-0.16701923762457033,0.24633458358388788,50
real_data3_testing,rbo,utility_balanced_accuracy_drop,-0.2676825377894588,0.06019207039407728,-0.11844397716834013,0.4126543275435758,50
real_data3_testing,rbo,fidelity_rmse_ratio,0.1685353047287168,0.0034125687206145237,0.2979622790375142,1.446416696471077e-07,300
real_data3_testing,rbo,utility_rmse_ratio,0.13288767015988875,0.021318653522104315,0.1703784869088342,0.003072424740357208,300
real_data3_testing,ndcg_score,fidelity_accuracy_drop,-0.1191123839831611,0.41000331424744085,-0.08328153073500583,0.5652946608903157,50
real_data3_testing,ndcg_score,utility_accuracy_drop,-0.13913075874109404,0.33523786375180875,-0.10394676059241079,0.4725270188250208,50
real_data3_testing,ndcg_score,fidelity_balanced_accuracy_drop,-0.11709119536417692,0.41804968287026073,-0.07965815341034917,0.5823902807121046,50
real_data3_testing,ndcg_score,utility_balanced_accuracy_drop,-0.13203213439908978,0.3607143793548204,-0.07439912257134897,0.6076101893717674,50
real_data3_testing,ndcg_score,fidelity_rmse_ratio,0.06580943243815968,0.2558199392753456,0.3197178463277607,1.4796346133786065e-08,300
real_data3_testing,ndcg_score,utility_rmse_ratio,0.08031596775329905,0.16527459848490972,0.16368658199020394,0.0044761894730233134,300
real_data4_testing,kendalltau,fidelity_accuracy_drop,-0.3840013932573084,0.0059044463676346855,-0.31782429911789545,0.02450072863183133,50
real_data4_testing,kendalltau,utility_accuracy_drop,-0.38706960542004837,0.005487693838915449,-0.3443978349837405,0.014321253853242434,50
real_data4_testing,kendalltau,fidelity_balanced_accuracy_drop,-0.3661582606649442,0.008918742347203034,-0.2446639659518596,0.08682092840051298,50
real_data4_testing,kendalltau,utility_balanced_accuracy_drop,-0.38258283153937117,0.006106286873640424,-0.3538235810217826,0.011710277197290649,50
real_data4_testing,kendalltau,fidelity_rmse_ratio,-0.2561437073579341,4.1625138633184565e-05,0.03670359307157485,0.5635199819958808,250
real_data4_testing,kendalltau,utility_rmse_ratio,0.041111206686532106,0.5176052512403777,0.12299885906223902,0.052086507114424016,250
real_data4_testing,weightedtau,fidelity_accuracy_drop,-0.3670435878154687,0.008742647281637136,-0.28704236729604854,0.04326827275080903,50
real_data4_testing,weightedtau,utility_accuracy_drop,-0.37888390679248707,0.006661133449027915,-0.31182736911993025,0.027491252503601335,50
real_data4_testing,weightedtau,fidelity_balanced_accuracy_drop,-0.3499186065676049,0.012737621817583367,-0.21317827034424355,0.1371687249748598,50
real_data4_testing,weightedtau,utility_balanced_accuracy_drop,-0.377924792032883,0.006811974999027415,-0.3320088807535952,0.018496499795004204,50
real_data4_testing,weightedtau,fidelity_rmse_ratio,-0.1857731486238204,0.003195080138632731,0.047263302231668684,0.4568951168765919,250
