dataset,perturbation,metric,median,ci_lower,ci_upper,n
real_data5_testing,mean_variance_drift,accuracy,0.8108108108108109,0.7837837837837838,0.8378378378378378,340
real_data5_testing,mean_variance_drift,balanced_accuracy,0.4444444444444444,0.4343227442492148,0.46331994514106584,340
real_data5_testing,mean_variance_drift,macro_f1,0.4286228554210057,0.4218181818181818,0.44169454062126884,340
real_data5_testing,mean_variance_drift,mae,11.308361008707234,10.705249078981023,12.051869014857049,10
real_data5_testing,mean_variance_drift,rmse,14.205076648872343,13.529244917238712,14.978988471152437,10
real_data5_testing,mean_variance_drift,r2,-0.015699204727785188,-0.11551167152057351,0.07504279432118532,10
real_data5_testing,mean_variance_drift,kendalltau,1.0,1.0,1.0,350
real_data5_testing,mean_variance_drift,weightedtau,1.0,1.0,1.0,350
real_data5_testing,mean_variance_drift,spearmanr,1.0,1.0,1.0,350
real_data5_testing,mean_variance_drift,ndcg_score,1.0,1.0,1.0,350
real_data5_testing,mean_variance_drift,rbo,1.0,1.0,1.0,350
real_data5_testing,noise_injection,accuracy,0.8108108108108109,0.7905405405405406,0.8378378378378378,340
real_data5_testing,noise_injection,balanced_accuracy,0.4444444444444444,0.4344803770790613,0.46331994514106584,340
real_data5_testing,noise_injection,macro_f1,0.4286228554210057,0.42181362307768955,0.44251054513778,340
real_data5_testing,noise_injection,mae,11.308361008707234,10.705249078981023,12.035128390347188,10
real_data5_testing,noise_injection,rmse,14.205076648872343,13.560739028172232,14.936871759221349,10
real_data5_testing,noise_injection,r2,-0.015699204727785188,-0.11551167152057351,0.06750880510589652,10
real_data5_testing,noise_injection,kendalltau,0.9358288770053477,0.9269162210338682,0.9429590017825313,350
real_data5_testing,noise_injection,weightedtau,0.9459441182677801,0.9376655790896755,0.9546599622098164,350
real_data5_testing,noise_injection,spearmanr,0.9899159663865545,0.9874713521772344,0.9909854851031321,350
real_data5_testing,noise_injection,ndcg_score,0.9975074681845035,0.9966963407315452,0.9980392298163115,350
real_data5_testing,noise_injection,rbo,0.7095071239350468,0.6842166228458908,0.7364050374106244,350
real_data5_testing,category_flip,accuracy,0.8108108108108109,0.7905405405405406,0.8378378378378378,340
real_data5_testing,category_flip,balanced_accuracy,0.4444444444444444,0.4369569045720362,0.46195000525027147,340
real_data5_testing,category_flip,macro_f1,0.4286228554210057,0.4218166124157173,0.440426664916755,340
real_data5_testing,category_flip,mae,11.308361008707234,10.872064812018722,11.671285141874634,10
real_data5_testing,category_flip,rmse,14.205076648872343,13.560739028172232,14.961208091065409,10
real_data5_testing,category_flip,r2,-0.015699204727785188,-0.11551167152057351,0.06750880510589652,10
real_data5_testing,category_flip,kendalltau,0.6488413547237077,0.5605614973262033,0.7611408199643495,350
real_data5_testing,category_flip,weightedtau,0.74094583487672,0.6921158668962157,0.7666385192678312,350
real_data5_testing,category_flip,spearmanr,0.7978609625668449,0.7305805958747135,0.9068869365928189,350
real_data5_testing,category_flip,ndcg_score,0.9734048631223573,0.9676322832818918,0.9782775424091968,350
real_data5_testing,category_flip,rbo,0.5720990687607772,0.5634809700655165,0.5855157837362018,350
real_data5_testing,correlation_mix,accuracy,0.8108108108108109,0.7837837837837838,0.8378378378378378,340
real_data5_testing,correlation_mix,balanced_accuracy,0.4444444444444444,0.4361416017762767,0.46475873935432754,340
real_data5_testing,correlation_mix,macro_f1,0.4286228554210057,0.42148724192194037,0.4411326510149377,340
real_data5_testing,correlation_mix,mae,11.308361008707234,10.872064812018722,12.051869014857049,10
real_data5_testing,correlation_mix,rmse,14.205076648872343,13.560739028172232,14.961208091065409,10
real_data5_testing,correlation_mix,r2,-0.015699204727785188,-0.11551167152057351,0.06750880510589652,10
real_data5_testing,correlation_mix,kendalltau,0.8698752228163994,0.8092691622103388,0.8930481283422461,350
real_data5_testing,correlation_mix,weightedtau,0.8867407992259128,0.8735843971689826,0.9019347294536243,350
real_data5_testing,correlation_mix,spearmanr,0.9578304048892283,0.9023682200152787,0.9774675324675323,350
real_data5_testing,correlation_mix,ndcg_score,0.9917602288101822,0.9882652503207686,0.9928207923062832,350
real_data5_testing,correlation_mix,rbo,0.6369858402554551,0.6232501612554995,0.6487710593018203,350
real_data5_testing,missingness_mcar,accuracy,0.8108108108108109,0.7837837837837838,0.8378378378378378,340
real_data5_testing,missingness_mcar,balanced_accuracy,0.4444444444444444,0.43605843408934547,0.4656418415319344,340
real_data5_testing,missingness_mcar,macro_f1,0.4286228554210057,0.4213166372813427,0.4429468061970414,340
real_data5_testing,missingness_mcar,mae,11.308361008707234,10.705249078981023,12.051869014857049,10
real_data5_testing,missingness_mcar,rmse,14.205076648872343,13.529244917238712,14.620794018307064,10
real_data5_testing,missingness_mcar,r2,-0.015699204727785188,-0.11551167152057351,0.06344304801248268,10
real_data5_testing,missingness_mcar,kendalltau,0.5401069518716579,0.4810160427807487,0.6372994652406417,350
real_data5_testing,missingness_mcar,weightedtau,0.6193653753322456,0.5647374098517638,0.6517500572961215,350
real_data5_testing,missingness_mcar,spearmanr,0.6653934300993124,0.6025897631779985,0.8086363636363636,350
real_data5_testing,missingness_mcar,ndcg_score,0.9557709098671852,0.9467479061678221,0.9606745177450923,350
real_data5_testing,missingness_mcar,rbo,0.5581041750872529,0.5498892272322821,0.5644357038699734,350
real_data2_testing,mean_variance_drift,accuracy,0.95,0.9392857142857143,0.9714285714285714,10
real_data2_testing,mean_variance_drift,balanced_accuracy,0.9445199275362319,0.925096240942029,0.9682971014492754,10
real_data2_testing,mean_variance_drift,macro_f1,0.9445199275362319,0.931745082134682,0.9721997598284784,10
