perturbation,propensity_auroc_mean,propensity_auroc_std,marginal_js_distance_mean,marginal_js_distance_std,marginal_wasserstein_mean,marginal_wasserstein_std,kendalltau_mean,kendalltau_std,spearmanr_mean,spearmanr_std,rbo_mean,rbo_std
mean_variance_drift,0.6960046256213426,0.18583951220243053,0.0008750557075935554,0.0015746195044485166,5.708985587694132,4.918578906904305,0.9969286733600459,0.01835046101409584,0.998880330997978,0.008711344696516802,0.9952426417129894,0.026380218295675367
noise_injection,0.4263305075412127,0.040302417484985434,0.07645100738878562,0.11968591702679235,0.2845759210523252,0.1528172244853363,0.8746755133029642,0.1614794618525768,0.9319735362676539,0.12073252688113523,0.8250059141473188,0.15914641892808928
category_flip,0.44988310367991097,0.02610712918494192,0.011318761025752168,0.008729970431048156,0.0,0.0,0.6866507229154288,0.22398471152179747,0.79409820952468,0.21041899183127785,0.6927529609252264,0.15526728495030265
correlation_mix,0.4273251908921205,0.04607227877188673,0.13569653554347907,0.14783217391005557,2.6261465627147147,1.601356758263632,0.7488414562924368,0.24894285028330634,0.8278077260430201,0.2276181572262002,0.7440883849280453,0.17525705937489774
missingness_mcar,0.6698234471090526,0.2399157351435369,0.36423169351585866,0.35459279554646134,0.2310017168921052,0.15331465276049688,0.5341956899309841,0.24234719236062005,0.6564939880381058,0.2627773028759767,0.6357192638450028,0.1272371385477648
