perturbation,ranking_metric,utility_metric,pearson_r,pearson_p,spearman_r,spearman_p,n
category_flip,kendalltau,fidelity_accuracy_drop,-0.08424448351593442,0.033100812080302494,-0.09286966797770199,0.018777199225727105,640
category_flip,kendalltau,utility_accuracy_drop,-0.055687869893325775,0.15938526369558834,-0.06330749568315673,0.10958939413556226,640
category_flip,kendalltau,fidelity_balanced_accuracy_drop,-0.07936084844659866,0.04475714556291557,-0.08410466467281287,0.03339439824546919,640
category_flip,kendalltau,utility_balanced_accuracy_drop,-0.038209043022680134,0.33450292544048893,-0.03594619566221423,0.36393606780432686,640
category_flip,kendalltau,fidelity_rmse_ratio,-0.1566184964490958,0.011443550429275483,-0.12470780323647443,0.044535733148559076,260
category_flip,kendalltau,utility_rmse_ratio,-0.09469303290360473,0.12777214888562316,0.011748867935861667,0.850454540251552,260
category_flip,weightedtau,fidelity_accuracy_drop,-0.024554007211206007,0.5352236353621931,-0.04770333790759214,0.22815058142826153,640
category_flip,weightedtau,utility_accuracy_drop,0.013029443127609855,0.7421622419799998,-0.012959647209459748,0.7434948056139273,640
category_flip,weightedtau,fidelity_balanced_accuracy_drop,-0.07443673306130322,0.05982959869706392,-0.06078039563664683,0.12452602982421676,640
category_flip,weightedtau,utility_balanced_accuracy_drop,-0.02718390169272693,0.4924061568127722,-0.018814087337934982,0.6347338423425579,640
category_flip,weightedtau,fidelity_rmse_ratio,-0.09618944156111954,0.12183326633132888,-0.08882073949727597,0.1532588666994475,260
category_flip,weightedtau,utility_rmse_ratio,-0.06632334919332258,0.2866712019130316,0.03909574951743214,0.530264354870003,260
category_flip,spearmanr,fidelity_accuracy_drop,-0.13345865500738338,0.0007122511346869521,-0.12893599589672647,0.001078787319500668,640
category_flip,spearmanr,utility_accuracy_drop,-0.10265453022256772,0.009355878480128664,-0.09501408290931479,0.016197706197160263,640
category_flip,spearmanr,fidelity_balanced_accuracy_drop,-0.10016609752930782,0.01123030797537416,-0.11192169813843522,0.004585494142991693,640
